Date,Open,High,Low,Close,Adj Close,Volume
2023-11-16,31555.099609,32453.650391,31431.500000,32273.349609,32273.349609,26900
2023-11-17,32288.900391,32405.849609,32134.650391,32191.349609,32191.349609,16400
2023-11-20,32202.300781,32600.349609,32198.099609,32383.199219,32383.199219,15300
2023-11-21,32507.750000,32587.150391,32300.050781,32325.699219,32325.699219,12400
2023-11-22,32298.000000,32583.449219,32262.150391,32564.400391,32564.400391,11100
2023-11-23,32657.150391,32688.000000,32334.500000,32370.650391,32370.650391,14200
2023-11-24,32341.000000,32420.449219,32010.000000,32055.150391,32055.150391,11800
2023-11-28,32115.849609,32187.949219,31807.849609,32118.500000,32118.500000,14300
2023-11-29,32258.500000,32633.000000,32248.349609,32608.400391,32608.400391,18800
2023-11-30,32569.800781,32701.650391,32455.300781,32582.199219,32582.199219,39500
2023-12-01,32729.800781,32729.800781,32478.750000,32598.699219,32598.699219,13400
2023-12-04,32888.199219,32888.199219,32522.449219,32665.550781,32665.550781,16800
2023-12-05,32754.000000,32755.199219,32252.449219,32479.150391,32479.150391,19000
2023-12-06,32560.150391,33073.050781,32529.300781,33022.601563,33022.601563,25300
2023-12-07,33053.648438,33111.648438,32891.750000,32961.601563,32961.601563,16800
2023-12-08,33098.648438,33452.398438,33012.699219,33392.898438,33392.898438,25700
2023-12-11,33424.000000,33615.699219,33332.500000,33514.250000,33514.250000,16300
2023-12-12,33484.800781,33799.800781,33358.000000,33493.898438,33493.898438,19700
2023-12-13,33466.300781,33497.449219,32715.650391,33066.648438,33066.648438,23500
2023-12-14,33451.949219,34308.550781,33419.101563,34223.351563,34223.351563,44000
2023-12-15,34427.550781,35947.601563,34427.550781,35782.449219,35782.449219,67500
2023-12-18,35707.300781,36132.000000,35487.949219,35685.550781,35685.550781,27600
2023-12-19,35728.398438,35762.101563,35091.949219,35345.000000,35345.000000,20600
2023-12-20,35492.800781,35928.500000,34621.000000,34741.050781,34741.050781,32400
2023-12-21,34406.800781,35020.000000,34394.550781,34846.050781,34846.050781,19900
2023-12-22,34974.648438,35770.449219,34740.148438,35637.800781,35637.800781,39200
2023-12-26,35421.148438,35682.648438,35185.449219,35493.449219,35493.449219,40100
2023-12-27,35557.300781,35814.699219,35447.101563,35741.000000,35741.000000,22900
2023-12-28,35812.000000,35850.398438,35614.800781,35691.648438,35691.648438,21700
2023-12-29,35559.398438,35781.101563,35395.050781,35515.000000,35515.000000,18000
2024-01-01,null,null,null,null,null,null
2024-01-02,35668.050781,35701.800781,35106.148438,35283.101563,35283.101563,18400
2024-01-03,35039.050781,35076.949219,34367.750000,34395.449219,34395.449219,24900
2024-01-04,34552.949219,34800.351563,34236.601563,34409.398438,34409.398438,26900
2024-01-05,34469.699219,34991.550781,34459.449219,34851.750000,34851.750000,24600
2024-01-08,34876.648438,34881.800781,34419.750000,34514.648438,34514.648438,15000
2024-01-09,34926.648438,35139.351563,34608.449219,34662.449219,34662.449219,18700
2024-01-10,34693.000000,34941.000000,34546.949219,34834.351563,34834.351563,16300
2024-01-11,34978.300781,35104.949219,34665.101563,34735.250000,34735.250000,21900
2024-01-12,35673.000000,36581.101563,35659.550781,36521.699219,36521.699219,67100
2024-01-15,37538.449219,37929.300781,37109.351563,37201.949219,37201.949219,99200
2024-01-16,37132.398438,37132.398438,36600.449219,36727.101563,36727.101563,28800
2024-01-17,36299.601563,37107.199219,36289.300781,36960.398438,36960.398438,35600
2024-01-18,36784.351563,36826.449219,36136.398438,36730.500000,36730.500000,34200
2024-01-19,37065.000000,37263.949219,36831.351563,37069.250000,37069.250000,24400
2024-01-22,null,null,null,null,null,null
2024-01-23,36958.300781,37383.449219,36424.898438,36521.351563,36521.351563,31200
2024-01-24,36761.601563,37174.199219,36435.300781,37090.148438,37090.148438,23600
